Date,SPY_ret,TLT_ret,GLD_ret,UUP_ret,SPY_ret_vol_21d,TLT_ret_vol_21d,GLD_ret_vol_21d,VIX_level,credit_spread_proxy,corr_60d_SPY_TLT,corr_60d_SPY_GLD,corr_60d_SPY_UUP,corr_60d_HYG_LQD,curve_slope_10y2y
2015-03-31,-0.8293549169128236,0.22834270723878164,-0.13321792327136361,0.3205044667833364,-0.06418260807225393,0.32902969452469083,-0.03331069363884718,-0.4389142949928053,-0.6876664559832528,-0.6342241870903003,-0.5813350782675993,-0.5677364863440522,-1.2640897787612566,1.478442186434183
2015-04-01,-0.3651499818362946,1.399793804794482,1.6594368235867987,0.06389165711206016,-0.06561384057562346,0.39556523609164956,0.16557785299612426,-0.4641000205896292,-0.6985868303587297,-0.536225570993077,-0.45084737687734056,-0.5832179333728899,-1.112569649537412,1.3814922920699106
2015-04-02,0.27132390795501343,-1.1303516936202143,-0.33165791456492016,-1.7278281295537616,-0.062176015742626295,0.4991751769848131,0.16422853972212878,-0.5256649645125272,-0.6660292728605848,-0.4693888483420992,-0.3836593948139516,-0.5964495791474557,-1.048833117344786,1.4622838707068042
2015-04-06,0.5511489308284738,-0.5959681391602587,1.17389479359008,-1.741141315027312,-0.04022106882911707,0.5275837273926773,0.24965661686560095,-0.5158705749753397,-0.6495610960876579,-0.48745243947490224,-0.2812855982732729,-0.6818160962159171,-1.057704420875882,1.5269171336163192
2015-04-07,-0.28573192124524116,0.8933945425726184,-0.5527123551065347,2.4916562898397663,-0.125844861889412,0.14299529989189516,-0.2830294946381605,-0.5102737618914399,-0.6270798562141784,-0.39103314400485895,-0.22373022267726306,-0.791409066451169,-0.8972917011538345,1.4622838707068042
2015-04-08,0.25168028817545457,0.03187360068246247,-0.6070713323348176,0.32128011958835284,-0.12841465078818323,0.11631430710962362,-0.24380124890104055,-0.6222101570079854,-0.6256253586240352,-0.3437005193689019,-0.1675176593462997,-0.8504428044328415,-0.9285867677796151,1.478442186434183
2015-04-09,0.34502662228159486,-1.3828873361065641,-0.7492247309467922,2.288474713884337,-0.2613468472628738,0.18770498999164,-0.22124391604416646,-0.7467392814843934,-0.5703921026126179,-0.34285039762294633,-0.11611660041117125,-0.8138080264020443,-0.8943149777355209,1.5269171336163192
2015-04-10,0.4372727286814523,0.15584833206129517,1.0841380055122487,0.48652876949966817,-0.2595008943856725,0.16030364834922667,-0.19917506203698343,-0.8180987483830278,-0.5582046239693247,-0.3355556323959042,-0.0807387010776383,-0.8010116060111715,-0.8858610233835422,1.494600502161562
2015-04-13,-0.4531309368501432,0.14744928350519218,-0.7721911520032195,0.3164538759654622,-0.31399119350999766,0.15798354687419297,-0.1406145586878557,-0.6278069700918852,-0.5788807464293698,-0.31005344049435934,-0.06003701826060143,-0.8299077985882938,-0.8634228550649835,1.5107588178889404
2015-04-14,0.1210141967027639,0.7551143331042945,-0.6640360995605715,-1.7083159644139265,-0.3403321622157878,0.1674384458558041,-0.0969789804554502,-0.6655854250485718,-0.6039310751790352,-0.21247847624050864,0.1424476316479125,-0.8195752130682619,-0.7078330994618035,1.4622838707068042
2015-04-15,0.3507134277850758,-0.09038142867956796,0.8145204089293656,-1.0413535901993818,-0.422249571894119,0.12035246114871236,-0.06753202097160982,-0.7817193966184045,-0.5596882757937058,-0.1235921516927406,0.03419012991173579,-0.9041792549262719,-0.6162909185947532,1.5107588178889404
2015-04-16,-0.0750114177418928,-0.5311647465983547,-0.4016346602410872,-1.7291656828067126,-0.42977640019681385,0.10340829309867976,-0.08528773297237068,-0.815300275121803,-0.5799482092453642,-0.14353581574416957,0.020976995891424505,-0.8868347788558341,-0.5872966453129451,1.5107588178889404
