Date,state_index,action,portfolio_return,transaction_cost,turnover,portfolio_nav
2015-03-31,0,cautious,-0.003000656799533595,0.001,1.0,99699.93432004664
2015-04-01,1,cautious,0.009313517511016533,0.0,0.0,100628.4914041836
2015-04-02,2,cautious,-0.003989236089062443,0.0,0.0,100227.06059468612
2015-04-06,3,cautious,0.00345562580775478,0.0,0.0,100573.4078119125
2015-04-07,4,cautious,0.001068718199643026,0.0,0.0,100680.89244324122
2015-04-08,5,cautious,-0.0005183488434061578,0.0,0.0,100628.70461909015
2015-04-09,6,cautious,-0.00593717861588109,0.0,0.0,100031.25402588186
2015-04-10,7,cautious,0.0056253080770918285,0.0,0.0,100593.96064711528
2015-04-13,8,cautious,-0.0029484635670663393,0.0,0.0,100297.36301908034
2015-04-14,9,cautious,0.0015850982747977363,0.0,0.0,100456.34419616866
2015-04-15,10,cautious,0.0036048401966294994,0.0,0.0,100818.47326373348
2015-04-16,11,cautious,-0.003115699173219644,0.0,0.0,100504.3532299404
2015-04-17,12,cautious,0.002621366387148394,0.0,0.0,100767.81196325946
2015-04-20,13,cautious,-0.003072202163778193,0.0,0.0,100458.23287330673
2015-04-21,14,cautious,-0.000442938418891248,0.0,0.0,100413.73606247321
2015-04-22,15,cautious,-0.00866257844200341,0.0,0.0,99543.89419717742
2015-04-23,16,cautious,0.0046649792110458055,0.0,0.0,100008.26439419379
2015-04-24,17,cautious,-0.001021505653451826,0.0,0.0,99906.10538672323
2015-04-27,18,cautious,0.004803008829959754,0.0,0.0,100385.95529306254
2015-04-28,19,cautious,-0.001961449110230618,0.0,0.0,100189.05335037329
2015-04-29,20,cautious,-0.00825130550463783,0.0,0.0,99362.36286295891
2015-04-30,21,cautious,-0.0076043265305793415,0.0,0.0,98606.77901089906
2015-05-01,22,cautious,-0.00316323009292,0.0,0.0,98294.86308016587
2015-05-04,23,cautious,-0.00021387459578898812,0.0,0.0,98273.84030605646
2015-05-05,24,cautious,-0.0031478258661123857,0.0,0.0,97964.49136957886
2015-05-06,25,cautious,-0.008240657393498753,0.0,0.0,97157.19955947378
2015-05-07,26,cautious,0.0041056415785352355,0.0,0.0,97556.0921976392
2015-05-08,27,cautious,0.006485198371207668,0.0,0.0,98188.76280786072
2015-05-11,28,cautious,-0.01231986561086439,0.0,0.0,96979.09044557084
2015-05-12,29,cautious,0.002703162476750609,0.0,0.0,97241.2406838927
2015-05-13,30,cautious,0.0022240636195347994,0.0,0.0,97457.51138961616
2015-05-14,31,cautious,0.005826693026403529,0.0,0.0,98025.36639160069
2015-05-15,32,cautious,0.009241348660658866,0.0,0.0,98931.2529800143
2015-05-18,33,cautious,-0.005804759373275958,0.0,0.0,98356.98086196862
2015-05-19,34,cautious,-0.0078059206916318066,0.0,0.0,97589.21406989175
2015-05-20,35,cautious,0.000955661836722721,0.0,0.0,97682.47635745411
2015-05-21,36,cautious,0.005460194694940113,0.0,0.0,98215.8416966497
2015-05-22,37,cautious,-0.0007839033897605207,0.0,0.0,98138.84996541552
2015-05-26,38,cautious,-0.0007672988365733373,0.0,0.0,98063.5481400144
2015-05-27,39,cautious,0.0037094541616383256,0.0,0.0,98427.31037676739
2015-05-28,40,cautious,-0.0009736694113184231,0.0,0.0,98331.4747154152
2015-05-29,41,cautious,-0.0007712297054773275,0.0,0.0,98255.63856113129
2015-06-01,42,cautious,-0.003951032885686346,0.0,0.0,97867.42730197214
2015-06-02,43,cautious,-0.004668013375000013,0.0,0.0,97410.5808423497
2015-06-03,44,cautious,-0.007784633788950224,0.0,0.0,96652.27514332307
2015-06-04,45,cautious,0.0005618045269327086,0.0,0.0,96706.57482903694
2015-06-05,46,cautious,-0.0069811197889046665,0.0,0.0,96031.45464578076
2015-06-08,47,cautious,-0.001404877400420301,0.0,0.0,95896.54222541941
2015-06-09,48,cautious,-0.002543717659681211,0.0,0.0,95652.60849745825
2015-06-10,49,cautious,0.0026498269063026433,0.0,0.0,95906.07135311284
2015-06-11,50,cautious,0.008010045983136505,0.0,0.0,96674.28339471325
2015-06-12,51,cautious,-0.0023757957486577716,0.0,0.0,96444.60504321955
2015-06-15,52,cautious,0.0006834334394869802,0.0,0.0,96510.5185113642
2015-06-16,53,cautious,0.0037027472956681633,0.0,0.0,96867.87257278568
